Brand,GPU Model,Video Title,YouTube URL
NVIDIA,RTX 5060,Nvidia GeForce RTX 5060 Review: Better Than PS5 GPU Perf - But 8GB Is Not Enough,https://www.youtube.com/watch?v=y0Acn0pbbCA
NVIDIA,RTX 5060,GeForce RTX 5060 Review - Nvidia Didn't Want You to See This,https://www.youtube.com/watch?v=2e1a2-VxxvQ
NVIDIA,RTX 5060,"Testing the RTX 5060, and comparing it to my RTX 4060",https://www.youtube.com/watch?v=587k5Jt6wLM
NVIDIA,RTX 5060,Can the RTX 5060 beat an RTX 2080 Ti?,https://www.youtube.com/watch?v=GB3gs12vEKk
NVIDIA,RTX 5060,Can the RTX 5060 Handle 1440p Gaming?,https://www.youtube.com/watch?v=H9pxqLT02_0
NVIDIA,RTX 5060,Don't Buy The RTX 5060,https://www.youtube.com/watch?v=QtFDz-BQLew
NVIDIA,RTX 5060,Thou Shalt Not Review the RTX 5060 - Tech News May 11,https://www.youtube.com/watch?v=Ne9JkW2ZEjU
NVIDIA,RTX 5060,Can the RTX 5060 beat an RTX 2080 Ti?,https://www.youtube.com/watch?v=GB3gs12vEKk
NVIDIA,RTX 5060 Ti,"GeForce RTX 5060 Ti 16GB Review & Benchmarks - Not Great, Not Terrible",https://www.youtube.com/watch?v=B6qZwJsp5X4
NVIDIA,RTX 5060 Ti,"More Marketing BS: NVIDIA GeForce RTX 5060 Ti Review & Benchmarks vs GTX 1060, 4060 Ti, & More",https://www.youtube.com/watch?v=Cskegn1-D7s
NVIDIA,RTX 5060 Ti,I finally understand where we went wrong... 5060Ti Full Review!,https://www.youtube.com/watch?v=vBVLnN5UGvk
NVIDIA,RTX 5060 Ti,RTX 5060 Ti vs RTX 3080 - Comparison in 10 Games,https://www.youtube.com/watch?v=DLuJXN3WsDs
NVIDIA,RTX 5060 Ti,Get the 16GB or Don’t Bother – RTX 5060 Ti Reviewed,https://www.youtube.com/watch?v=ZLjLrDYcY70
NVIDIA,RTX 5060 Ti,RTX 5060 Ti vs RX 7700 XT - Test in 17 Games,https://www.youtube.com/watch?v=zJ9V_C2UY7w
NVIDIA,RTX 5060 Ti,RTX 5060 Ti 8GB vs RTX 5060 Ti 16GB - Test in 10 Games | 1440p,https://www.youtube.com/watch?v=KZY4dmc1X30
NVIDIA,RTX 5060 Ti,"RTX 5060 Ti 8GB - Instantly Obsolete, Nvidia Screws Gamers",https://www.youtube.com/watch?v=AdZoa6Gzl6s
NVIDIA,RTX 5070,Nvidia RTX 5070 Review + Benchmarks: DLSS 4 Doesn't Deliver 4090 Performance,https://www.youtube.com/watch?v=nldUI2yQomw
NVIDIA,RTX 5070,"Worst 70 Series Ever, GeForce RTX 5070 Review",https://www.youtube.com/watch?v=qPGDVh_cQb0
NVIDIA,RTX 5070,This is a 4090 Killer… and I’m a Liar - RTX 5070 Review,https://www.youtube.com/watch?v=rUaztYdgoj0
NVIDIA,RTX 5070,NVIDIA is Selling Lies | RTX 5070 Founders Edition Review & Benchmarks,https://www.youtube.com/watch?v=ntSylZ1Bp1Y
NVIDIA,RTX 5070,This isn't going to age well... RTX 5070 FE Review…,https://www.youtube.com/watch?v=UxvmfEZkvc8
NVIDIA,RTX 5070,RTX 5070 vs RTX 4070 Ti SUPER - Test in 10 Games,https://www.youtube.com/watch?v=YKqZD4I8O4o
NVIDIA,RTX 5070,RTX 5070 vs RTX 5070 Ti vs RTX 5080 vs RTX 5090 - Test in 10 Games,https://www.youtube.com/watch?v=BRZXl58IUxU
NVIDIA,RTX 5070,NVIDIA is Desperate - RTX 5070 Review,https://www.youtube.com/watch?v=REBq2PoAkBc
NVIDIA,RTX 5070Ti ,Nvidia GeForce RTX 5070 Ti vs RTX 4080/3080 Review - Real-World Pricing Is Crucial On This One,https://www.youtube.com/watch?v=NlWmYg7Vr3Q
NVIDIA,RTX 5070Ti ,"GeForce RTX 5070 Ti Review, If Only It Was Really $750…",https://www.youtube.com/watch?v=UMPK1SeMEZM
NVIDIA,RTX 5070Ti ,The 5070 Ti might not be enough.,https://www.youtube.com/watch?v=tVK2FBWcnEo
NVIDIA,RTX 5070Ti ,Nvidia Didn’t Want to Make the RTX 5070 Ti - Full Review,https://www.youtube.com/watch?v=NnhU2ZvHb10
NVIDIA,RTX 5070Ti ,Do Not Buy: NVIDIA RTX 5070 Ti GPU Absurdity (Benchmarks & Review),https://www.youtube.com/watch?v=PhtVic3Vm0Y
NVIDIA,RTX 5070Ti ,RTX 5070Ti - I don't trust what I am being told one bit!,https://www.youtube.com/watch?v=zhSA5LYA8XU
NVIDIA,RTX 5070Ti ,RTX 5070 Ti 16GB - The Gameplay Review at 1440p!,https://www.youtube.com/watch?v=Kde0wX0m9C0
NVIDIA,RTX 5070Ti ,RTX 5070 Ti vs RTX 5080: The Ultimate Comparison!!!,https://www.youtube.com/watch?v=w94bD3S8K0M
NVIDIA,RTX 5080,Nvidia GeForce RTX 5080 Review vs RTX 5090/RTX 4090/RTX 4080 Super - Performance Worthy Of The Name?,https://www.youtube.com/watch?v=k7hDtGh0wIo
NVIDIA,RTX 5080,"Nvidia GeForce RTX 5080 Review, 1440p & 4K Gaming Benchmarks",https://www.youtube.com/watch?v=sEu6k-MdZgc
NVIDIA,RTX 5080,"NVIDIA, this is a joke right? – RTX 5080.",https://www.youtube.com/watch?v=d7k4XWg-TcA
NVIDIA,RTX 5080,I Can’t Put a Positive Spin on the RTX 5080 - Full Review,https://www.youtube.com/watch?v=Fbg7ChsjmEA
NVIDIA,RTX 5080,Building NVIDIA RTX 5080 Gaming PC! (Unboxing + Gameplay Test),https://www.youtube.com/watch?v=fflFw-vhm88
NVIDIA,RTX 5080,"NVIDIA GeForce RTX 5080 Founders Edition Review & Benchmarks vs 5090, 7900 XTX, 4080, & More",https://www.youtube.com/watch?v=nShh_j4s2YE
NVIDIA,RTX 5080,RTX 5080... I can't help but feel underwhelmed…,https://www.youtube.com/watch?v=meekBr-ZB1E
NVIDIA,RTX 5080,Nvidia's Holding Back - RTX 5080 vs 4090 & 5090,https://www.youtube.com/watch?v=CIaA1xbOsKg
NVIDIA,RTX 5090,Nvidia GeForce RTX 5090 Review: The Fastest Gaming GPU (A Lot Of) Money Can Buy,https://www.youtube.com/watch?v=Dk3fECI-fmw
NVIDIA,RTX 5090,"Nvidia GeForce RTX 5090 Review, 1440p & 4K Gaming Benchmarks",https://www.youtube.com/watch?v=eA5lFiP3mrs
NVIDIA,RTX 5090,The RTX 5090 Experience.,https://www.youtube.com/watch?v=5YJNFREQHiw
NVIDIA,RTX 5090,The RTX 5090 - Our Biggest Review Ever,https://www.youtube.com/watch?v=Q82tQJyJwgk
NVIDIA,RTX 5090,"NVIDIA RTX 5090 Gaming Review - A Monster GPU! (Overpowered, Overpriced)",https://www.youtube.com/watch?v=O6t5t8E4DMs
NVIDIA,RTX 5090,"NVIDIA GeForce RTX 5090 Founders Edition Review & Benchmarks: Gaming, Thermals, & Power",https://www.youtube.com/watch?v=VWSlOC_jiLQ
NVIDIA,RTX 5090,Full in-Depth RTX 5090 Review!,https://www.youtube.com/watch?v=ulUZ7bf_MXI
NVIDIA,RTX 5090,NVIDIA is Taking a Risk with this Generation: The Blackwell GeForce RTX 5090 Review and Benchmarks,https://www.youtube.com/watch?v=nryZwnVYpns
AMD,RX 9070 XT,AMD just defeated NVIDIA. - 9070 XT.,https://www.youtube.com/watch?v=1ETVDATUsLI
AMD,RX 9070 XT,"AMD, I Could Kiss You - 9070 and 9070 XT Review",https://www.youtube.com/watch?v=ptp5suRDdQQ
AMD,RX 9070 XT,"Radeon RX 9070 XT vs. GeForce RTX 5070 Ti, 55 Game Benchmark",https://www.youtube.com/watch?v=tHI2LyNX3ls
AMD,RX 9070 XT,"AMD Radeon RX 9070 XT Review, Have They Finally Done It?",https://www.youtube.com/watch?v=VQB0i0v2mkg
AMD,RX 9070 XT,"AMD Radeon RX 9070 XT GPU Review & Benchmarks vs. 5070 Ti, 5070, 7900 XT (Sapphire Pulse)",https://www.youtube.com/watch?v=yP0axVHdP-U
AMD,RX 9070 XT,The Truth About the RX 9070 XT - One Month Later,https://www.youtube.com/watch?v=UjmvnuXxL5E
AMD,RX 9070 XT,RX 9070 XT vs RTX 5070 Ti for Gaming,https://www.youtube.com/watch?v=BNpYroNkNLk
AMD,RX 9070 XT,RADEON RX 9070 XT 16GB - Test in 15 Games | 1080p | 1440p | 4K,https://www.youtube.com/watch?v=YFz3MzN4_kQ
AMD,RX 9070 XT,The Radeon RX 9070 XT is Not $600,https://www.youtube.com/watch?v=J_Tcqu1WaFQ
AMD,RX 9070 XT,"Radeon RX 9070 XT vs. GeForce RTX 5070, 57 Game Benchmark (1440p & 4K)",https://www.youtube.com/watch?v=3cY9axirBMg
AMD,RX 9070 XT,AMD RX 9070 XT vs Nvidia RTX 5070 Ti | Critical Rig,https://www.youtube.com/watch?v=ifX0Eb5GuYA
AMD,RX 9070 XT,AMD 9070XT has entered the chat! Sorry NVIDIA,https://www.youtube.com/watch?v=AHpIGcABFbc
AMD,RX 9070 XT,"RX 9070 XT vs RTX 5070 Ti- The Ultimate Comparison!!! (Early Access while I make timestamps, etc)",https://www.youtube.com/watch?v=YOyioXeWlig
AMD,RX 9070 XT,"Ok, Nvidia GPUs are kinda Pointless Now --- RX 9070 XT REVIEW!!",https://www.youtube.com/watch?v=yJXGGtIvFKM
AMD,RX 9070 XT,"Wild Design: Yeston RX 9070 XT ""Waifu"" Sakura Sugar Atlantis GPU Review & Benchmarks",https://www.youtube.com/watch?v=Bs1O21ibuKM
AMD,RX 9070 XT,"RX 9070 XT: Undervolting Is Impressive, but OC Is Completely Broken",https://www.youtube.com/watch?v=BtQ8jF3I0Zw
AMD,RX 9070 XT,RX 9070 XT vs RTX 5070 Ti - Test in 10 Games | 1440p & 4K,https://www.youtube.com/watch?v=a_a-FhQCqCE
AMD,RX 9070,"Incredibly Efficient: AMD RX 9070 GPU Review & Benchmarks vs. 9070 XT, RTX 5070",https://www.youtube.com/watch?v=LhsvrhedA9E
AMD,RX 9070,AMD DID IT...Sorta - Radeon RX 9070 XT & RX 9070 Review,https://www.youtube.com/watch?v=_e3U3hETEdE
AMD,RX 9070,"AMD Swings and Misses: Radeon RX 9070 Review, Benchmarks vs. RTX 5070",https://www.youtube.com/watch?v=gWIIA-a9Q9A
AMD,RX 9070,RX 9070 vs RTX 4070 Ti Super vs RX 9070 XT vs RTX 5070 Ti | Ryzen 7 7800x3D | Tested in 15 games,https://www.youtube.com/watch?v=Bp4NelWdt_M
AMD,RX 9070,AMD Out Here Saving Gaming - RX 9070 and 9070 XT Announcement,https://www.youtube.com/watch?v=gKJJycCTeuU
AMD,RX 9070,RX 9070 and 9070XT Details - this is actually BAD for NVIDIA!,https://www.youtube.com/watch?v=01DEKGYiSTo
AMD,RX 9070,All You Need for Gaming – AMD RDNA™ 4 and RX 9000 Series Reveal,https://www.youtube.com/watch?v=GZfFPI8LJrc